Nombre,Tamaño,Tiempo,Iteraciones,ValorH
Hill Climbing,8,0.17404460906982422,10000,2
Hill Climbing,8,0.13805699348449707,10000,1
Hill Climbing,8,0.11904096603393555,10000,2
Hill Climbing,8,0.12409400939941406,10000,1
Hill Climbing,8,0.0005817413330078125,47,0
Hill Climbing,8,0.2210688591003418,10000,2
Hill Climbing,8,0.21506452560424805,10000,2
Hill Climbing,8,0.0032007694244384766,139,0
Hill Climbing,8,0.17525696754455566,10000,1
Simulated Annealing,8,0.010535955429077148,814,0
Simulated Annealing,8,0.018076181411743164,1068,0
Simulated Annealing,8,0.016376495361328125,1077,0
Simulated Annealing,8,0.014181137084960938,1060,0
Simulated Annealing,8,0.08230757713317871,6728,0
Simulated Annealing,8,0.006585121154785156,554,0
Simulated Annealing,8,0.014081001281738281,1131,0
Simulated Annealing,8,0.03551793098449707,2650,0
Simulated Annealing,8,0.008019447326660156,663,0
Simulated Annealing,8,0.014871597290039062,1245,0
Simulated Annealing,8,0.0074901580810546875,630,0
Simulated Annealing,8,0.010754823684692383,893,0
Simulated Annealing,8,0.0077288150787353516,637,0
Simulated Annealing,8,0.012914657592773438,1071,0
Simulated Annealing,8,0.044895172119140625,3734,0
Simulated Annealing,8,0.008089542388916016,675,0
Simulated Annealing,8,0.019392013549804688,1623,0
Simulated Annealing,8,0.011481761932373047,963,0
Simulated Annealing,8,0.01209259033203125,1025,0
Simulated Annealing,8,0.006449222564697266,544,0
Simulated Annealing,8,0.031232833862304688,2528,0
Simulated Annealing,8,0.0075414180755615234,630,0
Simulated Annealing,8,0.024077653884887695,2008,0
Simulated Annealing,8,0.006289958953857422,486,0
Simulated Annealing,8,0.01828742027282715,1304,0
Simulated Annealing,8,0.02940964698791504,2451,0
Simulated Annealing,8,0.009048223495483398,695,0
Simulated Annealing,8,0.059181928634643555,4951,0
Simulated Annealing,8,0.010953187942504883,923,0
Simulated Annealing,8,0.011308670043945312,955,0
Genetic Algorithm,8,0.51450514793396,1000,1
Genetic Algorithm,8,0.5148248672485352,1000,0
Genetic Algorithm,8,0.5679166316986084,1000,0
Genetic Algorithm,8,0.859410285949707,1000,0
Genetic Algorithm,8,0.6237468719482422,1000,0
Genetic Algorithm,8,0.5944092273712158,1000,0
Genetic Algorithm,8,0.5589864253997803,1000,0
Genetic Algorithm,8,0.5028426647186279,1000,0
Genetic Algorithm,8,0.4963498115539551,1000,1
Genetic Algorithm,8,0.49799370765686035,1000,1
Genetic Algorithm,8,0.49472594261169434,1000,1
Genetic Algorithm,8,0.4921875,1000,1
Genetic Algorithm,8,0.4972860813140869,1000,1
Genetic Algorithm,8,0.4946568012237549,1000,1
Genetic Algorithm,8,0.4946753978729248,1000,1
Genetic Algorithm,8,0.49696969985961914,1000,0
